Date,Close
1/2/2019 16:00:00,54.32
1/3/2019 16:00:00,53.01
1/4/2019 16:00:00,54.52
1/7/2019 16:00:00,54.28
1/8/2019 16:00:00,55.05
1/9/2019 16:00:00,56.65
1/10/2019 16:00:00,56.4
1/11/2019 16:00:00,56.79
1/14/2019 16:00:00,56
1/15/2019 16:00:00,56.5
1/16/2019 16:00:00,55.74
1/17/2019 16:00:00,56.58
1/18/2019 16:00:00,56.92
1/22/2019 16:00:00,56.3
1/23/2019 16:00:00,56.95
1/24/2019 16:00:00,56.65
1/25/2019 16:00:00,57.54
1/28/2019 16:00:00,57.66
1/29/2019 16:00:00,58.35
1/30/2019 16:00:00,59.67
1/31/2019 16:00:00,60.06
2/1/2019 16:00:00,59.98
2/4/2019 16:00:00,59.45
2/5/2019 16:00:00,60.87
2/6/2019 16:00:00,60.19
2/7/2019 16:00:00,59.07
2/8/2019 16:00:00,60.01
2/11/2019 16:00:00,60.05
2/12/2019 16:00:00,61.23
2/13/2019 16:00:00,61.52
2/14/2019 16:00:00,61.09
2/15/2019 16:00:00,61.11
2/19/2019 16:00:00,61.97
2/20/2019 16:00:00,62.22
2/21/2019 16:00:00,62.28
2/22/2019 16:00:00,62.78
2/25/2019 16:00:00,63.06
2/26/2019 16:00:00,63.27
2/27/2019 16:00:00,63.28
2/28/2019 16:00:00,63.24
3/1/2019 16:00:00,63.98
3/4/2019 16:00:00,64.05
3/5/2019 16:00:00,64.19
3/6/2019 16:00:00,63.67
3/7/2019 16:00:00,62.92
3/8/2019 16:00:00,63.77
3/11/2019 16:00:00,63.99
3/12/2019 16:00:00,64.22
3/13/2019 16:00:00,64.45
3/14/2019 16:00:00,65.05
3/15/2019 16:00:00,66.06
3/18/2019 16:00:00,65.98
3/19/2019 16:00:00,66.78
3/20/2019 16:00:00,68.51
3/21/2019 16:00:00,67.31
3/22/2019 16:00:00,65.8
3/25/2019 16:00:00,66.63
3/26/2019 16:00:00,66.46
3/27/2019 16:00:00,66.51
3/28/2019 16:00:00,66.3
3/29/2019 16:00:00,65.96
4/1/2019 16:00:00,67.03
4/2/2019 16:00:00,67.3
4/3/2019 16:00:00,67.4
4/4/2019 16:00:00,67.04
4/5/2019 16:00:00,67
4/8/2019 16:00:00,67.22
4/9/2019 16:00:00,66.31
4/10/2019 16:00:00,66.97
4/11/2019 16:00:00,66.66
4/12/2019 16:00:00,67.59
4/15/2019 16:00:00,67.76
4/16/2019 16:00:00,68.18
4/17/2019 16:00:00,68.65
4/18/2019 16:00:00,68.43
4/22/2019 16:00:00,68.55
4/23/2019 16:00:00,68.82
4/24/2019 16:00:00,69
4/25/2019 16:00:00,68.73
4/26/2019 16:00:00,68.97
4/29/2019 16:00:00,69.55
4/30/2019 16:00:00,70.7
5/1/2019 16:00:00,70.15
5/2/2019 16:00:00,68.86
5/3/2019 16:00:00,69.55
5/6/2019 16:00:00,69.41
5/7/2019 16:00:00,68.08
5/8/2019 16:00:00,69.43
5/9/2019 16:00:00,68.55
5/10/2019 16:00:00,69
5/13/2019 16:00:00,67.31
5/14/2019 16:00:00,67.87
5/15/2019 16:00:00,68.49
5/16/2019 16:00:00,68.69
5/17/2019 16:00:00,69.1
5/20/2019 16:00:00,67.38
5/21/2019 16:00:00,68.74
5/22/2019 16:00:00,68.91
5/23/2019 16:00:00,67.6
5/24/2019 16:00:00,67.55
5/28/2019 16:00:00,67.28
5/29/2019 16:00:00,66.35
5/30/2019 16:00:00,66.83
5/31/2019 16:00:00,66.26
6/3/2019 16:00:00,66.6
6/4/2019 16:00:00,67.22
6/5/2019 16:00:00,67.66
6/6/2019 16:00:00,68.42
6/7/2019 16:00:00,69.36
6/10/2019 16:00:00,69
6/11/2019 16:00:00,69.91
6/12/2019 16:00:00,69.29
6/13/2019 16:00:00,68.69
6/14/2019 16:00:00,68.71
6/17/2019 16:00:00,68.72
6/18/2019 16:00:00,70.78
6/19/2019 16:00:00,70.75
6/20/2019 16:00:00,71.79
6/21/2019 16:00:00,71.63
6/24/2019 16:00:00,71.56
6/25/2019 16:00:00,71.15
6/26/2019 16:00:00,71.2
6/27/2019 16:00:00,71.3
6/28/2019 16:00:00,71.86
7/1/2019 16:00:00,71.58
7/2/2019 16:00:00,72.12
7/3/2019 13:00:00,72.83
7/5/2019 16:00:00,71.67
7/8/2019 16:00:00,71.84
7/9/2019 16:00:00,72.13
7/10/2019 16:00:00,72.29
7/11/2019 16:00:00,72.33
7/12/2019 16:00:00,72.68
7/15/2019 16:00:00,71.22
7/16/2019 16:00:00,71.14
7/17/2019 16:00:00,72.62
7/18/2019 16:00:00,72.25
7/19/2019 16:00:00,71.97
7/22/2019 16:00:00,72.15
7/23/2019 16:00:00,71.84
7/24/2019 16:00:00,72.47
7/25/2019 16:00:00,71.22
7/26/2019 16:00:00,71.73
7/29/2019 16:00:00,71.68
7/30/2019 16:00:00,70.41
7/31/2019 16:00:00,70.19
8/1/2019 16:00:00,70.68
8/2/2019 16:00:00,69.17
8/5/2019 16:00:00,67.47
8/6/2019 16:00:00,67.72
8/7/2019 16:00:00,68.87
8/8/2019 16:00:00,69.75
8/9/2019 16:00:00,69.36
8/12/2019 16:00:00,68.95
8/13/2019 16:00:00,68.9
8/14/2019 16:00:00,67.04
8/15/2019 16:00:00,67.38
8/16/2019 16:00:00,67.15
8/19/2019 16:00:00,67.84
8/20/2019 16:00:00,67.84
8/21/2019 16:00:00,69.61
8/22/2019 16:00:00,68.76
8/23/2019 16:00:00,68.1
8/26/2019 16:00:00,67.76
8/27/2019 16:00:00,68.37
8/28/2019 16:00:00,68.22
8/29/2019 16:00:00,67.67
8/30/2019 16:00:00,68.22
9/3/2019 16:00:00,68.4
9/4/2019 16:00:00,70.16
9/5/2019 16:00:00,71.33
9/6/2019 16:00:00,72.29
9/9/2019 16:00:00,71.29
9/10/2019 16:00:00,70.64
9/11/2019 16:00:00,70.06
9/12/2019 16:00:00,71.46
9/13/2019 16:00:00,71.16
9/16/2019 16:00:00,68.76
9/17/2019 16:00:00,69.82
9/18/2019 16:00:00,68.85
9/19/2019 16:00:00,69.46
9/20/2019 16:00:00,68.97
9/23/2019 16:00:00,68.97
9/24/2019 16:00:00,68.71
9/25/2019 16:00:00,68.05
9/26/2019 16:00:00,68.81
9/27/2019 16:00:00,68.67
9/30/2019 16:00:00,68.97
10/1/2019 16:00:00,67.89
10/2/2019 16:00:00,65.8
10/3/2019 16:00:00,66.57
10/4/2019 16:00:00,67.34
10/7/2019 16:00:00,67.62
10/8/2019 16:00:00,67.22
10/9/2019 16:00:00,69.55
10/10/2019 16:00:00,69.3
10/11/2019 16:00:00,70.47
10/14/2019 16:00:00,69.93
10/15/2019 16:00:00,70.45
10/16/2019 16:00:00,70.03
10/17/2019 16:00:00,70.71
10/18/2019 16:00:00,70.6
10/21/2019 16:00:00,70.22
10/22/2019 16:00:00,70.15
10/23/2019 16:00:00,69.91
10/24/2019 16:00:00,70.88
10/25/2019 16:00:00,72.31
10/28/2019 16:00:00,72.27
10/29/2019 16:00:00,71.74
10/30/2019 16:00:00,72.53
10/31/2019 16:00:00,72.05
11/1/2019 16:00:00,72.83
11/4/2019 16:00:00,72.66
11/5/2019 16:00:00,71.83
11/6/2019 16:00:00,71.69
11/7/2019 16:00:00,71.33
11/8/2019 16:00:00,71.4
11/11/2019 16:00:00,71.44
11/12/2019 16:00:00,70.58
11/13/2019 16:00:00,71.62
11/14/2019 16:00:00,72.38
11/15/2019 16:00:00,72.71
11/18/2019 16:00:00,72.73
11/19/2019 16:00:00,73.32
11/20/2019 16:00:00,73.3
11/21/2019 16:00:00,72.32
11/22/2019 16:00:00,72.5
11/25/2019 16:00:00,72.72
11/26/2019 16:00:00,73.32
11/27/2019 16:00:00,74.46
11/29/2019 13:00:00,74.86
12/2/2019 16:00:00,73.87
12/3/2019 16:00:00,72.4
12/4/2019 16:00:00,72.4
12/5/2019 16:00:00,73.34
12/6/2019 16:00:00,73.67
12/9/2019 16:00:00,73.32
12/10/2019 16:00:00,74.09
12/11/2019 16:00:00,73.85
12/12/2019 16:00:00,73.87
12/13/2019 16:00:00,74.25
12/16/2019 16:00:00,74.5
12/17/2019 16:00:00,74.59
12/18/2019 16:00:00,74.55
12/19/2019 16:00:00,74.05
12/20/2019 16:00:00,74.39
12/23/2019 16:00:00,75.14
