Date,Close
1/2/2019 16:00:00,235.03
1/3/2019 16:00:00,234.74
1/4/2019 16:00:00,245.88
1/7/2019 16:00:00,244.51
1/8/2019 16:00:00,239.14
1/9/2019 16:00:00,233.45
1/10/2019 16:00:00,238.03
1/11/2019 16:00:00,239.7
1/14/2019 16:00:00,238.52
1/15/2019 16:00:00,238.23
1/16/2019 16:00:00,234.56
1/17/2019 16:00:00,236.11
1/18/2019 16:00:00,240.9
1/22/2019 16:00:00,242.21
1/23/2019 16:00:00,248.96
1/24/2019 16:00:00,243.12
1/25/2019 16:00:00,248.87
1/28/2019 16:00:00,246.85
1/29/2019 16:00:00,244.83
1/30/2019 16:00:00,244.18
1/31/2019 16:00:00,249.16
2/1/2019 16:00:00,245.92
2/4/2019 16:00:00,244.28
2/5/2019 16:00:00,254.67
2/6/2019 16:00:00,251.9
2/7/2019 16:00:00,260.25
2/8/2019 16:00:00,264.08
2/11/2019 16:00:00,261.65
2/12/2019 16:00:00,268.42
2/13/2019 16:00:00,269.32
2/14/2019 16:00:00,270.52
2/15/2019 16:00:00,271.35
2/19/2019 16:00:00,268.93
2/20/2019 16:00:00,268.3
2/21/2019 16:00:00,306.75
2/22/2019 16:00:00,308.7
2/25/2019 16:00:00,304.42
2/26/2019 16:00:00,306.35
2/27/2019 16:00:00,305.67
2/28/2019 16:00:00,312.56
3/1/2019 16:00:00,304.88
3/4/2019 16:00:00,306.96
3/5/2019 16:00:00,309.55
3/6/2019 16:00:00,311.74
3/7/2019 16:00:00,312.4
3/8/2019 16:00:00,314.08
3/11/2019 16:00:00,319.09
3/12/2019 16:00:00,313.83
3/13/2019 16:00:00,315.94
3/14/2019 16:00:00,307.66
3/15/2019 16:00:00,306.62
3/18/2019 16:00:00,312.6
3/19/2019 16:00:00,302.36
3/20/2019 16:00:00,298.42
3/21/2019 16:00:00,297.16
3/22/2019 16:00:00,286.04
3/25/2019 16:00:00,286.51
3/26/2019 16:00:00,292.57
3/27/2019 16:00:00,290.92
3/28/2019 16:00:00,290.95
3/29/2019 16:00:00,294.73
4/1/2019 16:00:00,290.03
4/2/2019 16:00:00,285.61
4/3/2019 16:00:00,279.7
4/4/2019 16:00:00,284
4/5/2019 16:00:00,268.33
4/8/2019 16:00:00,267.81
4/9/2019 16:00:00,269.34
4/10/2019 16:00:00,268.05
4/11/2019 16:00:00,266.59
4/12/2019 16:00:00,261.27
4/15/2019 16:00:00,264.21
4/16/2019 16:00:00,268.4
4/17/2019 16:00:00,265.82
4/18/2019 16:00:00,266.97
4/22/2019 16:00:00,271.34
4/23/2019 16:00:00,277.73
4/24/2019 16:00:00,276.43
4/25/2019 16:00:00,300
4/26/2019 16:00:00,304.56
4/29/2019 16:00:00,304.09
4/30/2019 16:00:00,310.01
5/1/2019 16:00:00,304.75
5/2/2019 16:00:00,317.87
5/3/2019 16:00:00,328.86
5/6/2019 16:00:00,328.36
5/7/2019 16:00:00,327.9
5/8/2019 16:00:00,334.99
5/9/2019 16:00:00,332.94
5/10/2019 16:00:00,347.83
5/13/2019 16:00:00,344.38
5/14/2019 16:00:00,347.76
5/15/2019 16:00:00,343.86
5/16/2019 16:00:00,343.56
5/17/2019 16:00:00,341.69
5/20/2019 16:00:00,347.6
5/21/2019 16:00:00,346.56
5/22/2019 16:00:00,342.61
5/23/2019 16:00:00,336.94
5/24/2019 16:00:00,335.43
5/28/2019 16:00:00,335.8
5/29/2019 16:00:00,320.53
5/30/2019 16:00:00,317.73
5/31/2019 16:00:00,314.3
6/3/2019 16:00:00,315.65
6/4/2019 16:00:00,305.76
6/5/2019 16:00:00,309.88
6/6/2019 16:00:00,319.69
6/7/2019 16:00:00,320.4
6/10/2019 16:00:00,317.96
6/11/2019 16:00:00,333.56
6/12/2019 16:00:00,338.21
6/13/2019 16:00:00,341.85
6/14/2019 16:00:00,339.01
6/17/2019 16:00:00,337.56
6/18/2019 16:00:00,338.39
6/19/2019 16:00:00,338.34
6/20/2019 16:00:00,342.75
6/21/2019 16:00:00,346.34
6/24/2019 16:00:00,349.25
6/25/2019 16:00:00,361.19
6/26/2019 16:00:00,358.27
6/27/2019 16:00:00,365.53
6/28/2019 16:00:00,377.76
7/1/2019 16:00:00,380.3
7/2/2019 16:00:00,379.63
7/3/2019 13:00:00,383.38
7/5/2019 16:00:00,386.51
7/8/2019 16:00:00,388.23
7/9/2019 16:00:00,381.94
7/10/2019 16:00:00,384.73
7/11/2019 16:00:00,382.91
7/12/2019 16:00:00,396.83
7/15/2019 16:00:00,386.92
7/16/2019 16:00:00,391.03
7/17/2019 16:00:00,390.47
7/18/2019 16:00:00,389.44
7/19/2019 16:00:00,387.58
7/22/2019 16:00:00,393.85
7/23/2019 16:00:00,385.8
7/24/2019 16:00:00,385.64
7/25/2019 16:00:00,386.36
7/26/2019 16:00:00,398.5
7/29/2019 16:00:00,391.11
7/30/2019 16:00:00,386.69
7/31/2019 16:00:00,392.32
8/1/2019 16:00:00,383.04
8/2/2019 16:00:00,383.79
8/5/2019 16:00:00,373.23
8/6/2019 16:00:00,389.06
8/7/2019 16:00:00,394.51
8/8/2019 16:00:00,406.88
8/9/2019 16:00:00,402.96
8/12/2019 16:00:00,402.54
8/13/2019 16:00:00,409.7
8/14/2019 16:00:00,397.81
8/15/2019 16:00:00,408.55
8/16/2019 16:00:00,421.96
8/19/2019 16:00:00,422.71
8/20/2019 16:00:00,431.98
8/21/2019 16:00:00,439.6
8/22/2019 16:00:00,437.44
8/23/2019 16:00:00,429.41
8/26/2019 16:00:00,435.01
8/27/2019 16:00:00,441.26
8/28/2019 16:00:00,438.05
8/29/2019 16:00:00,436.32
8/30/2019 16:00:00,438.42
9/3/2019 16:00:00,411.1
9/4/2019 16:00:00,405.78
9/5/2019 16:00:00,410.3
9/6/2019 16:00:00,403.56
9/9/2019 16:00:00,399.88
9/10/2019 16:00:00,379
9/11/2019 16:00:00,390.48
9/12/2019 16:00:00,392.54
9/13/2019 16:00:00,389.36
9/16/2019 16:00:00,388.07
9/17/2019 16:00:00,352
9/18/2019 16:00:00,358.05
9/19/2019 16:00:00,351.47
9/20/2019 16:00:00,345.48
9/23/2019 16:00:00,355.05
9/24/2019 16:00:00,340.02
9/25/2019 16:00:00,349
9/26/2019 16:00:00,363.93
9/27/2019 16:00:00,352.18
9/30/2019 16:00:00,364.08
10/1/2019 16:00:00,370.03
10/2/2019 16:00:00,368.36
10/3/2019 16:00:00,371.11
10/4/2019 16:00:00,385.84
10/7/2019 16:00:00,374.89
10/8/2019 16:00:00,371.51
10/9/2019 16:00:00,382.38
10/10/2019 16:00:00,382.13
10/11/2019 16:00:00,397.03
10/14/2019 16:00:00,390.16
10/15/2019 16:00:00,387.73
10/16/2019 16:00:00,383.5
10/17/2019 16:00:00,402.34
10/18/2019 16:00:00,393.56
10/21/2019 16:00:00,396
10/22/2019 16:00:00,401.18
10/23/2019 16:00:00,373.39
10/24/2019 16:00:00,381.25
10/25/2019 16:00:00,375.56
10/28/2019 16:00:00,375.05
10/29/2019 16:00:00,373.48
10/30/2019 16:00:00,371.47
10/31/2019 16:00:00,374.46
11/1/2019 16:00:00,384.01
11/4/2019 16:00:00,352.97
11/5/2019 16:00:00,348.49
11/6/2019 16:00:00,356.99
11/7/2019 16:00:00,356.02
11/8/2019 16:00:00,361.97
11/11/2019 16:00:00,358.05
11/12/2019 16:00:00,370.1
11/13/2019 16:00:00,366.66
11/14/2019 16:00:00,362.92
11/15/2019 16:00:00,366.38
11/18/2019 16:00:00,367.34
11/19/2019 16:00:00,377.46
11/20/2019 16:00:00,381.4
11/21/2019 16:00:00,384.73
11/22/2019 16:00:00,378.39
11/25/2019 16:00:00,381.79
11/26/2019 16:00:00,389.14
11/27/2019 16:00:00,390.61
11/29/2019 13:00:00,384.32
12/2/2019 16:00:00,373.12
12/3/2019 16:00:00,383.91
12/4/2019 16:00:00,389.23
12/5/2019 16:00:00,382.82
12/6/2019 16:00:00,381.06
12/9/2019 16:00:00,377.53
12/10/2019 16:00:00,371.96
12/11/2019 16:00:00,376.91
12/12/2019 16:00:00,367.69
12/13/2019 16:00:00,370
12/16/2019 16:00:00,375.83
12/17/2019 16:00:00,370.87
12/18/2019 16:00:00,365.98
12/19/2019 16:00:00,367.42
12/20/2019 16:00:00,377.69
12/23/2019 16:00:00,372.91
12/24/2019 13:00:00,377.51
12/26/2019 16:00:00,383.86
12/27/2019 16:00:00,378.75
12/30/2019 16:00:00,379.59
12/31/2019 16:00:00,377.85
1/2/2020 16:00:00,371.12
1/3/2020 16:00:00,367.7
1/6/2020 16:00:00,371.57
1/7/2020 16:00:00,373.88
1/8/2020 16:00:00,373.38
1/9/2020 16:00:00,369.48
1/10/2020 16:00:00,367.95
1/13/2020 16:00:00,364.01
1/14/2020 16:00:00,361.71
1/15/2020 16:00:00,376.4
1/16/2020 16:00:00,385.8
1/17/2020 16:00:00,386.6
1/21/2020 16:00:00,390.92
1/22/2020 16:00:00,398.19
1/23/2020 16:00:00,393.33
1/24/2020 16:00:00,381.67
1/27/2020 16:00:00,377.28
1/28/2020 16:00:00,382
1/29/2020 16:00:00,373.25
1/30/2020 16:00:00,362.43
1/31/2020 16:00:00,356.38
2/3/2020 16:00:00,349.7
2/4/2020 16:00:00,376.17
2/5/2020 16:00:00,371.25
2/6/2020 16:00:00,366.96
2/7/2020 16:00:00,363.52
2/10/2020 16:00:00,373.86
2/11/2020 16:00:00,399.69
2/12/2020 16:00:00,409.5
2/13/2020 16:00:00,410.3
2/14/2020 16:00:00,408.91
2/18/2020 16:00:00,425.98
2/19/2020 16:00:00,429
2/20/2020 16:00:00,396.29
2/21/2020 16:00:00,396.64
2/24/2020 16:00:00,405.1
2/25/2020 16:00:00,395.54
2/26/2020 16:00:00,397.76
2/27/2020 16:00:00,386.47
2/28/2020 16:00:00,370.79
3/2/2020 16:00:00,363.8
3/3/2020 16:00:00,371.59
3/4/2020 16:00:00,385.01
